year,type,discipline,event,as,athlete_id,noc,medal
2022,Winter,Bobsleigh (Bobsleigh),"Two, Women",Elana Meyers Taylor,118644,USA,Bronze
2022,Winter,Bobsleigh (Bobsleigh),"Two, Women",Mariama Jamanka,137253,GER,Silver
2022,Winter,Bobsleigh (Bobsleigh),"Two, Women",Alexandra Burghardt,143235,GER,Silver
2022,Winter,Bobsleigh (Bobsleigh),"Two, Women",Deborah Levi,148384,GER,Gold
1924,Winter,Military Ski Patrol (Skiing),"Military Ski Patrol, Men",Väinö Bremer,34716,FIN,Silver
1948,Winter,Bobsleigh (Bobsleigh),"Four, Men",Max Houben,65215,BEL,Silver
1976,Winter,Bobsleigh (Bobsleigh),"Two, Men",Manfred Schumann,70504,FRG,Silver
1976,Winter,Bobsleigh (Bobsleigh),"Four, Men",Manfred Schumann,70504,FRG,Bronze
1952,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Stokken,74227,NOR,Silver
1972,Winter,Bobsleigh (Bobsleigh),"Two, Men",Edy Hubacher,75825,SUI,Bronze
1972,Winter,Bobsleigh (Bobsleigh),"Four, Men",Edy Hubacher,75825,SUI,Gold
1968,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Rita Achkina,80508,URS,Bronze
2018,Winter,Bobsleigh (Bobsleigh),"Two, Women",Elana Meyers Taylor,118644,USA,Silver
1980,Winter,Speed Skating (Skating),"1,000 metres, Women",Sylvia Albrecht,80517,GDR,Bronze
1952,Winter,Figure Skating (Skating),"Singles, Women",Tenley Albright,80519,USA,Silver
1956,Winter,Figure Skating (Skating),"Singles, Women",Tenley Albright,80519,USA,Gold
1992,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Yuliya Allagulova,80522,EUN,Bronze
1980,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Carola Anding,80535,GDR,Gold
1998,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Gunn Margit Andreassen,80537,NOR,Bronze
2018,Winter,Bobsleigh (Bobsleigh),"Two, Women",Kaillie Humphries,118672,CAN,Bronze
1984,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Debbie Armstrong,80552,USA,Gold
1960,Winter,Speed Skating (Skating),"500 metres, Women",Jeanne Ashworth,80557,USA,Bronze
1994,Winter,Speed Skating (Skating),"500 metres, Women",Susan Auch,80561,CAN,Silver
1998,Winter,Speed Skating (Skating),"500 metres, Women",Susan Auch,80561,CAN,Silver
1968,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Inger Aufles,80563,NOR,Bronze
1968,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Inger Aufles,80563,NOR,Gold
1972,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Inger Aufles,80563,NOR,Bronze
1968,Winter,Luge,"Singles, Women",Erika Lechner,80566,ITA,Gold
1976,Winter,Speed Skating (Skating),"500 metres, Women",Tatyana Averina,80567,URS,Bronze
1976,Winter,Speed Skating (Skating),"1,000 metres, Women",Tatyana Averina,80567,URS,Gold
1976,Winter,Speed Skating (Skating),"1,500 metres, Women",Tatyana Averina,80567,URS,Bronze
1976,Winter,Speed Skating (Skating),"3,000 metres, Women",Tatyana Averina,80567,URS,Gold
1994,Winter,Speed Skating (Skating),"1,000 metres, Women",Anke Baier,80575,GER,Silver
1994,Winter,Figure Skating (Skating),"Singles, Women",Oksana Baiul,80578,UKR,Gold
1956,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Lyubov Kozyreva,80591,URS,Gold
1956,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Lyubov Kozyreva,80591,URS,Silver
1960,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Lyubov Baranova,80591,URS,Silver
1960,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Lyubov Baranova,80591,URS,Silver
1994,Winter,Speed Skating (Skating),"3,000 metres, Women",Svetlana Bazhanova,80609,RUS,Gold
1992,Winter,Figure Skating (Skating),"Pairs, Mixed",Yelena Bechke,80612,EUN,Silver
1980,Winter,Speed Skating (Skating),"1,500 metres, Women",Sabine Becker,80615,GDR,Bronze
1980,Winter,Speed Skating (Skating),"3,000 metres, Women",Sabine Becker,80615,GDR,Silver
1992,Winter,Biathlon,"15 kilometres, Women",Myriam Bédard,80617,CAN,Bronze
1994,Winter,Biathlon,"7.5 kilometres Sprint, Women",Myriam Bédard,80617,CAN,Gold
1994,Winter,Biathlon,"15 kilometres, Women",Myriam Bédard,80617,CAN,Gold
1948,Winter,Alpine Skiing (Skiing),"Downhill, Women",Trude Beiser,80622,AUT,Silver
1948,Winter,Alpine Skiing (Skiing),"Combined, Women",Trude Beiser,80622,AUT,Gold
1952,Winter,Alpine Skiing (Skiing),"Downhill, Women",Trude Jochum-Beiser,80622,AUT,Gold
1992,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Stefania Belmondo,80627,ITA,Gold
1992,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",Stefania Belmondo,80627,ITA,Silver
1992,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Stefania Belmondo,80627,ITA,Bronze
1994,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",Stefania Belmondo,80627,ITA,Bronze
1994,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Stefania Belmondo,80627,ITA,Bronze
1998,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Stefania Belmondo,80627,ITA,Silver
1998,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Stefania Belmondo,80627,ITA,Bronze
2018,Winter,Bobsleigh (Bobsleigh),"Two, Women",Phylicia George,122692,CAN,Bronze
2018,Winter,Bobsleigh (Bobsleigh),"Two, Women",Lisa Buckwitz,137251,GER,Gold
2018,Winter,Bobsleigh (Bobsleigh),"Two, Women",Mariama Jamanka,137253,GER,Gold
1964,Winter,Figure Skating (Skating),"Pairs, Mixed",Lyudmila Belousova,80628,URS,Gold
1968,Winter,Figure Skating (Skating),"Pairs, Mixed",Lyudmila Belousova,80628,URS,Gold
1992,Winter,Biathlon,"7.5 kilometres Sprint, Women",Yelena Belova,80629,EUN,Bronze
1992,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women",Yelena Belova,80629,EUN,Bronze
1998,Winter,Figure Skating (Skating),"Pairs, Mixed",Yelena Berezhnaya,80636,RUS,Silver
2018,Winter,Bobsleigh (Bobsleigh),"Two, Women",Lauren Gibbs,138258,USA,Silver
1976,Winter,Speed Skating (Skating),"3,000 metres, Women",Lisbeth Korsmo,80639,NOR,Bronze
1956,Winter,Alpine Skiing (Skiing),"Downhill, Women",Madeleine Berthod,80647,SUI,Gold
1984,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Nataliya Bestemyanova,80650,URS,Silver
1988,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Nataliya Bestemyanova,80650,URS,Gold
1960,Winter,Alpine Skiing (Skiing),"Downhill, Women",Heidi Biebl,80655,GER,Gold
1988,Winter,Speed Skating (Skating),"500 metres, Women",Bonnie Blair,80673,USA,Gold
1988,Winter,Speed Skating (Skating),"1,000 metres, Women",Bonnie Blair,80673,USA,Bronze
1992,Winter,Speed Skating (Skating),"500 metres, Women",Bonnie Blair,80673,USA,Gold
1992,Winter,Speed Skating (Skating),"1,000 metres, Women",Bonnie Blair,80673,USA,Gold
1994,Winter,Speed Skating (Skating),"500 metres, Women",Bonnie Blair,80673,USA,Gold
1994,Winter,Speed Skating (Skating),"1,000 metres, Women",Bonnie Blair,80673,USA,Gold
1968,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Fernande Bochatay,80685,SUI,Bronze
1980,Winter,Speed Skating (Skating),"1,500 metres, Women",Annie Borckink,80701,NED,Gold
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Christine Boudrias,80711,CAN,Silver
